ID,Title,Gross,Budget,Date,Genre,Director,RTRating,IMDBRating,IMDBVotes
1,The Land Girls,146083.0,8000000.0,1998,,,,6.1,1071.0
2,"First Love, Last Rites",10876.0,300000.0,1998,Drama,,,6.9,207.0
3,I Married a Strange Person,203134.0,250000.0,1998,Comedy,,,6.8,865.0
4,Let's Talk About Sex,373615.0,300000.0,1998,Comedy,,1.3,,
5,Slam,1087521.0,1000000.0,1998,Drama,,6.2,3.4,165.0
6,Mississippi Mermaid,2624551.0,1600000.0,1999,,,,,
7,Following,44705.0,6000.0,1999,,Christopher Nolan,,7.7,15133.0
8,Foolish,6026908.0,1600000.0,1999,Comedy,,,3.8,353.0
9,Pirates,6341825.0,40000000.0,1986,,Roman Polanski,2.5,5.8,3275.0
10,Duel in the Sun,20400000.0,6000000.0,1946,,,8.6,7.0,2906.0
11,Tom Jones,37600000.0,1000000.0,1963,,,8.1,7.0,4035.0
12,Oliver!,37402877.0,10000000.0,1968,Musical,,8.4,7.5,9111.0
13,To Kill A Mockingbird,13129846.0,2000000.0,1962,,,9.7,8.4,82786.0
14,"Tora, Tora, Tora",29548291.0,25000000.0,1970,,Richard Fleischer,,,
15,Hollywood Shuffle,5228617.0,100000.0,1987,,,8.7,6.8,1532.0
16,Over the Hill to the Poorhouse,3000000.0,100000.0,1920,,,,,
17,Wilson,2000000.0,5200000.0,1944,,,,7.0,451.0
18,Darling Lili,5000000.0,22000000.0,1970,,Blake Edwards,,6.1,858.0
19,The Ten Commandments,80000000.0,13500000.0,1956,,,9.0,2.5,1677.0
20,12 Angry Men,0.0,340000.0,1957,Drama,Sidney Lumet,,8.9,119101.0
21,Twelve Monkeys,168841459.0,29000000.0,1995,Drama,Terry Gilliam,,8.1,169858.0
22,1776,0.0,4000000.0,1972,Drama,,5.7,7.0,4099.0
23,1941,94875000.0,32000000.0,1979,Comedy,Steven Spielberg,3.3,5.6,13364.0
24,Chacun sa nuit,18435.0,1900000.0,2007,Thriller/Suspense,,,6.3,365.0
25,2001: A Space Odyssey,68700000.0,10500000.0,1968,,Stanley Kubrick,9.6,8.4,160342.0
26,"20,000 Leagues Under the Sea",28200000.0,5000000.0,1954,Adventure,Richard Fleischer,9.2,,
27,"20,000 Leagues Under the Sea",8000000.0,200000.0,2016,Adventure,,,,
28,24 7: Twenty Four Seven,72544.0,2000000.0,1998,Comedy,Shane Meadows,,6.9,1417.0
29,Twin Falls Idaho,1027228.0,500000.0,1999,Drama,Michael Polish,7.7,7.1,2810.0
30,Three Kingdoms: Resurrection of the Dragon,22139590.0,20000000.0,2008,Action,,,,
31,3 Men and a Baby,167780960.0,15000000.0,1987,Comedy,Leonard Nimoy,,5.7,16764.0
32,3 Ninjas Kick Back,11744960.0,20000000.0,1994,Action,,1.7,3.2,3107.0
33,Forty Shades of Blue,172569.0,1500000.0,2005,Drama,,,6.0,873.0
34,42nd Street,2300000.0,439000.0,1933,Musical,,9.5,7.7,4263.0
35,Four Rooms,4301000.0,4000000.0,1995,Comedy,Robert Rodriguez,1.4,6.4,34328.0
36,The Four Seasons,42488161.0,6500000.0,1981,Comedy,Alan Alda,7.1,7.0,1814.0
37,Four Weddings and a Funeral,242895809.0,4500000.0,1994,Romantic Comedy,Mike Newell,9.6,7.1,39003.0
38,51 Birch Street,84689.0,350000.0,2006,,,9.7,7.4,439.0
39,55 Days at Peking,10000000.0,17000000.0,1963,Drama,,5.7,6.8,2104.0
40,Nine 1/2 Weeks,6734844.0,18000000.0,1986,Drama,Adrian Lyne,,5.4,12731.0
41,AstÃˆrix aux Jeux Olympiques,132999811.0,113500000.0,2008,Adventure,,,4.9,5620.0
